Contador,Sitio,Número Catalogo,Región,Departamento,Municipio,Vereda,Latitud,Longitud,Altitud,Héctareas valor mayor,Héctareas valor menor,Plancha,Escala,Contextos,Descripción,Restos Fauna,Restos Oseos,Restos Botánicos,Analisis de Suelos,Polen,Cerámica,Líticos,Tipos cerámicos,Referencia,Multicomponente
124,El Tambo,123,Macizo Andino del sur,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Uribe, 1978; 1992:9",FALSE
125,El Tiestero,124,Macizo Antioqueño,,,,6.270,-75.660,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Marrón Inciso,"Santos, 1994; Botero & Vélez, 1995",FALSE
126,El Topacio,125,Valles alto Calima y alto y medio del Cauca,Valle del Cauca,Calima,,3.931296892,-76.45615231,1650,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,"Cardale, 1987; Cardale et al., 1989; Bray et al., 1987;1988. Herrera et al., 1990.",FALSE
127,El Venado III,126,Altiplano Cundiboyacense,Boyacá,,,5.503394,-73.518838,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Boada; Therrien & S. Mora 1989,FALSE
128,El Volador,127,Macizo Antioqueño,,,,6.270,-75.580,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Bermudez, 1995; Santos, 1995:Piazzini 1993; Castillo, 1992",FALSE
129,Frasquillo,128,"Uraba, alto Sinú",,,,8.180,-76.070,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Botiva, et al. 1991",FALSE
131,Fúquene,130,Altiplano Cundiboyacense,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Uribe, 1990",FALSE
132,Gachalá,131,Altiplano Cundiboyacense,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Correal, 1979",FALSE
133,Galíndez,132,Alto Magdalena,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Patiño, & Gnecco, 1992",FALSE
134,Girardot,133,Magdalena medio,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Correal, 1993",FALSE
135,Guabas,134,Valles alto Calima y alto y medio del Cauca,,,,3.764201354,-76.30370005,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Rodríguez en Herrera, 1984;  Bray 1989; Rodríguez 1985",FALSE
136,Guacanas,135,Alto Magdalena,,,,2.15,-75.40,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Llanos, 1993",FALSE
137,Guácharos I,136,Alto Magdalena,,,,1.5245,-76.090,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Correal, & van der Hammen, 1984",FALSE
138,Guaduero,137,Magdalena medio,,,,5.19000,-74.60000,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Hernandez, & Caceres, 1989",FALSE
140,Guaiqurí,139,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Plazas, et al. 1981, cita a Reines s.p.",TRUE
141,Guájaro,140,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Magdalena,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Angulo, 1986; Peña 2001 - zooarqueología.",FALSE
142,Guájaro-Rotinet,141,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
143,Guapotá,142,Montaña Santandereana,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Sutherland, 1971",FALSE
144,Guasca,143,Altiplano Cundiboyacense,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Uribe, 1990",FALSE
145,Guatavita,144,Altiplano Cundiboyacense,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Falchetti, 1979; Reichel-Dolmatoff 1986; Uribe, 1990",FALSE
146,Guayabal,145,Alto Magdalena,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Patiño, & Gnecco, 1992",FALSE
148,Guayabito-Yacimiento 11,147,Tierras bajas orientales,,,,6.05521142,-76.76982646,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Múnera; Monsalve & Botero 1997,FALSE
149,Guayabero I,148,Tierras bajas orientales,Guaviare,San José del Guaviare,,2.56983467,-71.08801912,240,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,"Correal, et al. 1990; Botiva 1986",FALSE
150,Imbilí,149,Costa Pacífica,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Reichel-Dolmatoff, 1965",FALSE
151,Inguapí,150,Costa Pacífica,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Bouchard, 1983",FALSE
