"Sitio",Región,Referencia,Latitud,Longitud,Cacicazgos,Formativo,Colonial,Paleoindio,Republicano,Total,Fechas
"Hda Poblanco","","Pertuz Angarita, Joyce E., Yezid Vélez Carvajal y Martha C. Cano Echeverri, 2002",5.885139,-75.609083,0,0,0,0,0,0,
"Cerro conejos","","Pertuz Angarita, Joyce E., Yezid Vélez Carvajal y Martha C. Cano Echeverri, 2002",5.850028,-75.720833,0,0,0,0,0,0,
"Carretera al Retiro","","Pertuz Angarita, Joyce E., Yezid Vélez Carvajal y Martha C. Cano Echeverri, 2002",5.946583,-75.656083,0,0,0,0,0,0,
"Calle del hospital","","Pertuz Angarita, Joyce E., Yezid Vélez Carvajal y Martha C. Cano Echeverri, 2002",5.921528,-75.670472,0,0,0,0,0,0,
"Cuatro vientos","","GAIA, 2002",6.383389,-75.619833,0,0,0,0,0,0,
"La unión 1","","GAIA, 2002",6.390972,-75.622389,0,0,0,0,0,0,
"Moralba","","Bray, Warwick y Edward Moseley, 1976",3.921183,-76.336428,0,0,0,0,0,0,
"Yotoco","","Bray, Warwick y Edward Moseley, 1976",3.864869,-76.362797,0,0,0,0,0,0,
"El Jordán","","Bray, Warwick y Edward Moseley, 1976",3.757478,-76.380578,0,0,0,0,0,0,
"La unión 2","","GAIA, 2002",6.380222,-75.617944,0,0,0,0,0,0,
"El Despiste","","GAIA, 2002",6.430111,-75.597389,0,0,0,0,0,0,
"El Tambo","","GAIA, 2002",6.430806,-75.591917,0,0,0,0,0,0,
"Casa de la Contaduría","","Obregón, Mauricio, Liliana Gómez y Mónica Henao, 2004",6.559806,-75.830639,0,0,0,0,0,0,
"“Cementerio de las Guacas”","","Bran Pérez, Monica, 2008",5.787278,-75.790833,0,0,0,0,0,0,
"La Elvira","","Bran Pérez, Monica, 2008",5.785806,-75.802028,0,0,0,0,0,0,
"La Pista","","Bran Pérez, Monica, 2008",5.789306,-75.769528,0,0,0,0,0,0,
"La Altamira (Tumba III)","","Bran Pérez, Monica, 2008",5.768333,-75.795556,0,0,0,0,0,0,
"La Guzmana","","Bran Pérez, Monica, 2008",5.799861,-75.7515,0,0,0,0,0,0,
"El porvenir","","Bran Pérez, Monica, 2008",5.782333,-75.808528,0,0,0,0,0,0,
"Finca La Amapola","","Bran Pérez, Monica, 2008",5.763444,-75.788444,0,0,0,0,0,0,
"Churimal","","Bran Pérez, Monica, 2008",5.786639,-75.734194,0,0,0,0,0,0,
"La Mama","","Bran Pérez, Monica, 2008",5.782778,-75.732806,0,0,0,0,0,0,
"“El local para el liceo”","","Bran Pérez, Monica, 2008",5.795472,-75.784611,0,0,0,0,0,0,
"El Faro","","Bran Pérez, Monica, 2008",5.795472,-75.784639,0,0,0,0,0,0,
"Finca La Bonita","","Bran Pérez, Monica, 2008",5.794417,-75.769278,0,0,0,0,0,0,
"PSW49","","Bran Pérez, Monica, 2008",5.791347,-75.79215,0,0,0,0,0,0,
"PSSE38","","Bran Pérez, Monica, 2008",5.786542,-75.780514,0,0,0,0,0,0,
"PD15","","Bran Pérez, Monica, 2008",5.783203,-75.795114,0,0,0,0,0,0,
"Hobo","","Ceballos Misas, Tulio A. y Nicolás Loaiza Díaz, 2010",8.846531,-76.439361,0,0,0,0,0,0,
"Frasquillo Corte I","","Espinoza, Amparo y Guillermo Casasbuenas, 1983",7.9539,-76.247503,0,0,0,0,0,0,
"Frasquillo Corte II","","Botiva Contreras, Álvaro, 1987",7.951439,-76.247872,0,0,0,0,0,0,
"Cerro del Aguila 2","","Roman Maldonado, Gustavo, 1985",8.579222,-76.823944,0,0,0,0,0,0,
"Tumulo de Puerto Lopez","","Falchetti, Ana M., Clemencia Plazas y Juan A. Yanguez, 1979",7.952617,-75.564278,0,0,0,0,0,0,
"UMG 1 LA VUELTA PARTE ALTA","","Piazzini, Carlo E., 2004",6.729297,-76.082686,0,0,0,0,0,0,
"UMG 10","","Piazzini, Carlo E., 2004",6.724444,-76.087778,0,0,0,0,0,0,
"UMG 12 LA MARIA","","Piazzini, Carlo E., 2004",6.720258,-76.082706,0,0,0,0,0,0,
"UMG 46","","Piazzini, Carlo E., 2004",6.733333,-76.085278,0,0,0,0,0,0,
"UMG 57","","Piazzini, Carlo E., 2004",6.728611,-76.083333,0,0,0,0,0,0,
"UMG 66","","Piazzini, Carlo E., 2004",6.735833,-76.085278,0,0,0,0,0,0,
"UMG 29","","Piazzini, Carlo E., 2004",6.7975,-76.094167,0,0,0,0,0,0,
"UMG 30","","Piazzini, Carlo E., 2004",6.801389,-76.098056,0,0,0,0,0,0,
"UMG 31","","Piazzini, Carlo E., 2004",6.804444,-76.100556,0,0,0,0,0,0,
"UMG 32","","Piazzini, Carlo E., 2004",6.833056,-76.128333,0,0,0,0,0,0,
"UMG 33","","Piazzini, Carlo E., 2004",6.829722,-76.126111,0,0,0,0,0,0,
"UMG 35","","Piazzini, Carlo E., 2004",6.828611,-76.123333,0,0,0,0,0,0,
"UMG 36","","Piazzini, Carlo E., 2004",6.827222,-76.120278,0,0,0,0,0,0,
"UMG 37","","Piazzini, Carlo E., 2004",6.825556,-76.118333,0,0,0,0,0,0,
"UMG 38","","Piazzini, Carlo E., 2004",6.823611,-76.116667,0,0,0,0,0,0,
"UMG 40","","Piazzini, Carlo E., 2004",6.816111,-76.107222,0,0,0,0,0,0,
"UMG 45","","Piazzini, Carlo E., 2004",6.844444,-76.128889,0,0,0,0,0,0,
"UMG 7","","Piazzini, Carlo E., 2004",6.791667,-76.080556,0,0,0,0,0,0,
"UMG 22","","Piazzini, Carlo E., 2004",6.791389,-76.085833,0,0,0,0,0,0,
"UMG 23","","Piazzini, Carlo E., 2004",6.801944,-76.088056,0,0,0,0,0,0,
"UMG 26","","Piazzini, Carlo E., 2004",6.795556,-76.090556,0,0,0,0,0,0,
"V-Cai-EAl-1 Los Quingos","","Bruhns, Karen O., 1976",4.409764,-75.866478,0,0,0,0,0,0,
"LI  97","","Herrera Gómez, Diego, Carlos Cardona V. y Iván E. Espinoza P., 2001",6.824722,-75.826667,0,0,0,0,0,0,
"UMG 9A","","Piazzini, Carlo E., 2004",6.754181,-76.091681,0,0,0,0,0,0,
"UMG 18","","Piazzini, Carlo E., 2004",6.763231,-76.095914,0,0,0,0,0,0,
"UMP 6","","Arango, Clara E. y David A. Escobar, 2010",6.710833,-76.157778,0,0,0,0,0,0,
"UMP 8","","Arango, Clara E. y David A. Escobar, 2010",6.709444,-76.150833,0,0,0,0,0,0,
"Sitio 3","","Acevedo, Jorge, 2007",6.160278,-75.628611,0,0,0,0,0,0,
"Sitio 4","","Acevedo, Jorge, 2007",6.158333,-75.625833,0,0,0,0,0,0,
"Sitio 6","","Acevedo, Jorge, 2007",6.157222,-75.624722,0,0,0,0,0,0,
"La Palma","","GAIA, 1999",6.4048,-75.430539,0,0,0,0,0,0,
"UMP 44","","Arango, Clara E. y David A. Escobar, 2010",6.753611,-76.131111,0,0,0,0,0,0,
"UMP 46","","Arango, Clara E. y David A. Escobar, 2010",6.750833,-76.131389,0,0,0,0,0,0,
"UMP 54","","Arango, Clara E. y David A. Escobar, 2010",6.763056,-76.118056,0,0,0,0,0,0,
"UMP 56","","Arango, Clara E. y David A. Escobar, 2010",6.749167,-76.132778,0,0,0,0,0,0,
"UMP 57","","Arango, Clara E. y David A. Escobar, 2010",6.746667,-76.135278,0,0,0,0,0,0,
"Yacimiento 5","","Nieto, Luis Eduardo, 2003",6.286111,-75.628056,0,0,0,0,0,0,
"UMP 68","","Arango, Clara E. y David A. Escobar, 2010",6.760278,-76.137778,0,0,0,0,0,0,
"Yacimiento 8","","Nieto, Luis Eduardo, 2003",6.282778,-75.621111,0,0,0,0,0,0,
"Yacimiento 24","","Nieto, Luis Eduardo, 2003",6.29,-75.613611,0,0,0,0,0,0,
"UMP 201","","Piazzini, Carlo E., 2009",6.778333,-76.198611,0,0,0,0,0,0,
"La Blanquita","","Martínez, Luz E. y Silvia H. Botero, 2002",6.208358,-75.629206,0,0,0,0,0,0,
"UMP 202","","Piazzini, Carlo E., 2009",6.771111,-76.191944,0,0,0,0,0,0,
"UMP 203","","Piazzini, Carlo E., 2009",6.776667,-76.200278,0,0,0,0,0,0,
"UMP 139","","Piazzini, Carlo E., 2009",6.745833,-76.201389,0,0,0,0,0,0,
"UMP 205","","Piazzini, Carlo E., 2009",6.775833,-76.201667,0,0,0,0,0,0,
"UMP 207","","Piazzini, Carlo E., 2009",6.776389,-76.201667,0,0,0,0,0,0,
"UMP 208","","Piazzini, Carlo E., 2009",6.77,-76.192778,0,0,0,0,0,0,
"UMP 209","","Piazzini, Carlo E., 2009",6.776667,-76.201111,0,0,0,0,0,0,
"UMP 210","","Piazzini, Carlo E., 2009",6.768333,-76.195556,0,0,0,0,0,0,
"UMP 211","","Piazzini, Carlo E., 2004",6.777222,-76.201111,0,0,0,0,0,0,
"UMP 212","","Piazzini, Carlo E., 2009",6.768333,-76.196389,0,0,0,0,0,0,
"UMP 213","","Piazzini, Carlo E., 2009",6.776111,-76.199167,0,0,0,0,0,0,
"UMP 214","","Piazzini, Carlo E., 2009",6.775278,-76.191667,0,0,0,0,0,0,
"UMP 215","","Piazzini, Carlo E., 2009",6.777222,-76.203333,0,0,0,0,0,0,
"UMP 216","","Piazzini, Carlo E., 2009",6.770833,-76.196389,0,0,0,0,0,0,
"UMP 217","","Piazzini, Carlo E., 2009",6.780278,-76.206667,0,0,0,0,0,0,
"UMP 218","","Piazzini, Carlo E., 2009",6.779722,-76.189722,0,0,0,0,0,0,
"UMP 219","","Piazzini, Carlo E., 2009",6.778333,-76.203056,0,0,0,0,0,0,
"UMP 220","","Piazzini, Carlo E., 2009",6.780556,-76.190833,0,0,0,0,0,0,
"UMP 221","","Piazzini, Carlo E., 2009",6.78,-76.205278,0,0,0,0,0,0,
"UMP 222","","Piazzini, Carlo E., 2009",6.781944,-76.193056,0,0,0,0,0,0,
"UMP 223","","Piazzini, Carlo E., 2009",6.780556,-76.204444,0,0,0,0,0,0,
"UMP 224","","Piazzini, Carlo E., 2009",6.782222,-76.193611,0,0,0,0,0,0,
"UMP 225","","Piazzini, Carlo E., 2009",6.780278,-76.203056,0,0,0,0,0,0,
"UMP 226","","Piazzini, Carlo E., 2009",6.781389,-76.194167,0,0,0,0,0,0,
"UMP 82","","Piazzini, Carlo E., 2009",6.756667,-76.187222,0,0,0,0,0,0,
"UMP 83","","Piazzini, Carlo E., 2009",6.754444,-76.194722,0,0,0,0,0,0,
"UMP 84","","Piazzini, Carlo E., 2009",6.756667,-76.186944,0,0,0,0,0,0,
"UMP 85","","Piazzini, Carlo E., 2009",6.754722,-76.195,0,0,0,0,0,0,
"UMP 86","","Piazzini, Carlo E., 2009",6.754444,-76.187222,0,0,0,0,0,0,
"UMP 87","","Piazzini, Carlo E., 2009",6.756667,-76.195278,0,0,0,0,0,0,
"UMP 88","","Piazzini, Carlo E., 2009",6.757778,-76.186667,0,0,0,0,0,0,
"UMP 89","","Piazzini, Carlo E., 2009",6.7575,-76.195278,0,0,0,0,0,0,
"UMP 90","","Piazzini, Carlo E., 2009",6.746111,-76.191111,0,0,0,0,0,0,
"UMP 91","","Piazzini, Carlo E., 2009",6.756389,-76.193333,0,0,0,0,0,0,
"UMP 92","","Piazzini, Carlo E., 2009",6.758889,-76.187222,0,0,0,0,0,0,
"UMP 94","","Piazzini, Carlo E., 2009",6.759167,-76.1875,0,0,0,0,0,0,
"UMP 95","","Piazzini, Carlo E., 2009",6.757778,-76.193611,0,0,0,0,0,0,
"UMP 96","","Piazzini, Carlo E., 2009",6.759722,-76.187222,0,0,0,0,0,0,
"UMP 97","","Piazzini, Carlo E., 2009",6.757778,-76.193333,0,0,0,0,0,0,
"UMP 98","","Piazzini, Carlo E., 2009",6.76,-76.186944,0,0,0,0,0,0,
"UMP 99","","Piazzini, Carlo E., 2009",6.758611,-76.1925,0,0,0,0,0,0,
"UMP 100","","Piazzini, Carlo E., 2009",6.760556,-76.1875,0,0,0,0,0,0,
"UMP 101","","Piazzini, Carlo E., 2009",6.758333,-76.195278,0,0,0,0,0,0,
"UMP 102","","Piazzini, Carlo E., 2009",6.760833,-76.188333,0,0,0,0,0,0,
"UMP 103","","Piazzini, Carlo E., 2009",6.759722,-76.193333,0,0,0,0,0,0,
"UMP 104","","Piazzini, Carlo E., 2009",6.759722,-76.188056,0,0,0,0,0,0,
"UMP 105","","Piazzini, Carlo E., 2009",6.758333,-76.191389,0,0,0,0,0,0,
"UMP 106","","Piazzini, Carlo E., 2009",6.761389,-76.189444,0,0,0,0,0,0,
"UMP 108","","Piazzini, Carlo E., 2009",6.762778,-76.188056,0,0,0,0,0,0,
"Unidad de Intervención Arqueológica 1","","Obregón, Mauricio, Carlos Cardona y Liliana Gómez, 2003",6.251306,-75.486139,0,0,0,0,0,0,
"Unidad de Intervención Arqueológica 2","","Obregón, Mauricio, Carlos Cardona y Liliana Gómez, 2003",6.251306,-75.484889,0,0,0,0,0,0,
"Estructura 1","","Henao, Mónica y Ximena Urrea, 2006",6.2575,-75.496111,0,0,0,0,0,0,
"Estructura 2","","Henao, Mónica y Ximena Urrea, 2006",6.257222,-75.494167,0,0,0,0,0,0,
"Estructura 3","","Henao, Mónica y Ximena Urrea, 2006",6.264722,-75.494722,0,0,0,0,0,0,
"Estructura 4","","Henao, Mónica y Ximena Urrea, 2006",6.256667,-75.502222,0,0,0,0,0,0,
"Estructura 5","","Henao, Mónica y Ximena Urrea, 2006",6.2325,-75.489167,0,0,0,0,0,0,
"Estructura 6","","Henao, Mónica y Ximena Urrea, 2006",6.259167,-75.496667,0,0,0,0,0,0,
"Estructura 7","","Henao, Mónica y Ximena Urrea, 2006",6.258056,-75.497222,0,0,0,0,0,0,
"Estructura 8","","Henao, Mónica y Ximena Urrea, 2006",6.254722,-75.492778,0,0,0,0,0,0,
"Estructura 9","","Henao, Mónica y Ximena Urrea, 2006",6.255,-75.493889,0,0,0,0,0,0,
"Estructura 10","","Henao, Mónica y Ximena Urrea, 2006",6.251389,-75.490833,0,0,0,0,0,0,
"Estructura 11","","Henao, Mónica y Ximena Urrea, 2006",6.253611,-75.493056,0,0,0,0,0,0,
"Estructura 12","","Henao, Mónica y Ximena Urrea, 2006",6.243333,-75.492778,0,0,0,0,0,0,
"Estructura 13","","Henao, Mónica y Ximena Urrea, 2006",6.279722,-75.500833,0,0,0,0,0,0,
"Estructura 14","","Henao, Mónica y Ximena Urrea, 2006",6.276389,-75.519722,0,0,0,0,0,0,
"Estructura 15","","Henao, Mónica y Ximena Urrea, 2006",6.256389,-75.492778,0,0,0,0,0,0,
"Estructura 16","","Henao, Mónica y Ximena Urrea, 2006",6.259444,-75.493056,0,0,0,0,0,0,
"Estructura 17","","Henao, Mónica y Ximena Urrea, 2006",6.258056,-75.493056,0,0,0,0,0,0,
"Estructura 18","","Henao, Mónica y Ximena Urrea, 2006",6.274444,-75.523611,0,0,0,0,0,0,
"Estructura 19","","Henao, Mónica y Ximena Urrea, 2006",6.258056,-75.494722,0,0,0,0,0,0,
"Estructura 20","","Henao, Mónica y Ximena Urrea, 2006",6.325,-75.496944,0,0,0,0,0,0,
"Estructura 21","","Henao, Mónica y Ximena Urrea, 2006",6.273056,-75.524444,0,0,0,0,0,0,
"UMP 115","","Piazzini, Carlo E., 2009",6.760556,-76.195556,0,0,0,0,0,0,
"UMP 116","","Piazzini, Carlo E., 2009",6.763611,-76.189167,0,0,0,0,0,0,
"UMP 117","","Piazzini, Carlo E., 2009",6.761944,-76.195833,0,0,0,0,0,0,
"UMP 118","","Piazzini, Carlo E., 2009",6.763611,-76.189444,0,0,0,0,0,0,
"UMP 120","","Piazzini, Carlo E., 2009",6.764444,-76.189167,0,0,0,0,0,0,
"UMP 121","","Piazzini, Carlo E., 2009",6.762222,-76.193056,0,0,0,0,0,0,
"UMP 123","","Piazzini, Carlo E., 2009",6.761389,-76.1925,0,0,0,0,0,0,
"UMP 124","","Piazzini, Carlo E., 2009",6.765,-76.188889,0,0,0,0,0,0,
"UMP 125","","Piazzini, Carlo E., 2009",6.760833,-76.192222,0,0,0,0,0,0,
"UMP 127","","Piazzini, Carlo E., 2009",6.760833,-76.191667,0,0,0,0,0,0,
"UMP 128","","Piazzini, Carlo E., 2004",6.765,-76.187778,0,0,0,0,0,0,
"UMP 129","","Piazzini, Carlo E., 2009",6.759722,-76.191111,0,0,0,0,0,0,
"UMP 130","","Piazzini, Carlo E., 2009",6.765556,-76.188056,0,0,0,0,0,0,
"UMP 36","","Piazzini, Carlo E., 2009",6.744444,-76.189722,0,0,0,0,0,0,
"UMP 37","","Piazzini, Carlo E., 2009",6.747778,-76.186944,0,0,0,0,0,0,
"UMP 38","","Piazzini, Carlo E., 2009",6.744722,-76.189444,0,0,0,0,0,0,
"UMP 39","","Piazzini, Carlo E., 2009",6.747778,-76.186667,0,0,0,0,0,0,
"UMP 40","","Piazzini, Carlo E., 2009",6.745278,-76.189722,0,0,0,0,0,0,
"UMP 41","","Piazzini, Carlo E., 2009",6.7475,-76.185833,0,0,0,0,0,0,
"UMP 42","","Piazzini, Carlo E., 2009",6.744722,-76.189722,0,0,0,0,0,0,
"UMP 43","","Piazzini, Carlo E., 2009",6.747778,-76.186111,0,0,0,0,0,0,
"UMP 44","","Piazzini, Carlo E., 2009",6.746111,-76.189444,0,0,0,0,0,0,
"UMP 46","","Piazzini, Carlo E., 2009",6.7525,-76.183889,0,0,0,0,0,0,
"UMP 47","","Piazzini, Carlo E., 2009",6.742222,-76.195278,0,0,0,0,0,0,
"UMP 48","","Piazzini, Carlo E., 2009",6.753333,-76.183333,0,0,0,0,0,0,
"UMP 49","","Piazzini, Carlo E., 2009",6.741111,-76.192222,0,0,0,0,0,0,
"UMP 50","","Piazzini, Carlo E., 2009",6.754444,-76.1825,0,0,0,0,0,0,
"UMP 51","","Piazzini, Carlo E., 2009",6.742222,-76.192778,0,0,0,0,0,0,
"UMP 52","","Piazzini, Carlo E., 2009",6.755833,-76.183889,0,0,0,0,0,0,
"UMP 53","","Piazzini, Carlo E., 2009",6.741944,-76.192222,0,0,0,0,0,0,
"UMP 54","","Piazzini, Carlo E., 2009",6.755,-76.183611,0,0,0,0,0,0,
"UMP 55","","Piazzini, Carlo E., 2009",6.740556,-76.191944,0,0,0,0,0,0,
"UMP 56","","Piazzini, Carlo E., 2009",6.754722,-76.183889,0,0,0,0,0,0,
"UMP 57","","Piazzini, Carlo E., 2009",6.745833,-76.192222,0,0,0,0,0,0,
"UMP 58","","Piazzini, Carlo E., 2009",6.754722,-76.184167,0,0,0,0,0,0,
"UMP 59","","Piazzini, Carlo E., 2009",6.7475,-76.1925,0,0,0,0,0,0,
"UMP 60","","Piazzini, Carlo E., 2009",6.754722,-76.184444,0,0,0,0,0,0,
"UMP 61","","Piazzini, Carlo E., 2009",6.747222,-76.192778,0,0,0,0,0,0,
"UMP 62","","Piazzini, Carlo E., 2009",6.755833,-76.184167,0,0,0,0,0,0,
"UMP 63","","Piazzini, Carlo E., 2009",6.746944,-76.193889,0,0,0,0,0,0,
"UMP 64","","Piazzini, Carlo E., 2009",6.753889,-76.184722,0,0,0,0,0,0,
"UMP 65","","Piazzini, Carlo E., 2009",6.746667,-76.194444,0,0,0,0,0,0,
"UMP 66","","Piazzini, Carlo E., 2009",6.754167,-76.185,0,0,0,0,0,0,
"UMP 67","","Piazzini, Carlo E., 2009",6.750278,-76.194722,0,0,0,0,0,0,
"UMP 68","","Piazzini, Carlo E., 2009",6.756389,-76.185833,0,0,0,0,0,0,
"UMP 70","","Piazzini, Carlo E., 2009",6.756389,-76.186111,0,0,0,0,0,0,
"UMP 71","","Piazzini, Carlo E., 2009",6.748333,-76.195556,0,0,0,0,0,0,
"UMP 72","","Piazzini, Carlo E., 2009",6.755833,-76.186111,0,0,0,0,0,0,
"UMP 73","","Piazzini, Carlo E., 2009",6.757778,-76.185833,0,0,0,0,0,0,
"UMP 74","","Piazzini, Carlo E., 2009",6.755833,-76.186389,0,0,0,0,0,0,
"UMP 75","","Piazzini, Carlo E., 2009",6.750556,-76.193333,0,0,0,0,0,0,
"UMP 78","","Arango, Clara E. y David A. Escobar, 2010",6.768056,-76.124444,0,0,0,0,0,0,
"UMP 9","","Arango, Clara E. y David A. Escobar, 2010",6.713611,-76.1675,0,0,0,0,0,0,
"UMP 1","","Piazzini, Carlo E., 2009",6.748889,-76.183889,0,0,0,0,0,0,
"UMP 2","","Piazzini, Carlo E., 2009",6.748611,-76.183056,0,0,0,0,0,0,
"UMP 3","","Piazzini, Carlo E., 2009",6.749167,-76.183611,0,0,0,0,0,0,
"UMP 4","","Piazzini, Carlo E., 2009",6.748889,-76.183333,0,0,0,0,0,0,
"UMP 5","","Piazzini, Carlo E., 2009",6.749444,-76.183889,0,0,0,0,0,0,
"UMP 6","","Piazzini, Carlo E., 2009",6.748611,-76.185833,0,0,0,0,0,0,
"UMP 7","","Piazzini, Carlo E., 2009",6.751111,-76.1825,0,0,0,0,0,0,
"UMP 8","","Piazzini, Carlo E., 2009",6.748889,-76.186667,0,0,0,0,0,0,
"UMP 9","","Piazzini, Carlo E., 2009",6.749444,-76.186389,0,0,0,0,0,0,
"UMP 10","","Piazzini, Carlo E., 2009",6.748056,-76.186667,0,0,0,0,0,0,
"UMP 11","","Piazzini, Carlo E., 2009",6.746667,-76.185278,0,0,0,0,0,0,
"UMP 12","","Piazzini, Carlo E., 2009",6.748611,-76.186667,0,0,0,0,0,0,
"UMP 14","","Piazzini, Carlo E., 2009",6.748056,-76.186389,0,0,0,0,0,0,
"UMP 16","","Piazzini, Carlo E., 2009",6.748889,-76.186111,0,0,0,0,0,0,
"UMP 18","","Piazzini, Carlo E., 2009",6.747222,-76.185556,0,0,0,0,0,0,
"UMP 19","","Piazzini, Carlo E., 2009",6.749444,-76.183333,0,0,0,0,0,0,
"UMP 20","","Piazzini, Carlo E., 2009",6.746667,-76.186111,0,0,0,0,0,0,
"UMP 21","","Piazzini, Carlo E., 2009",6.745833,-76.185278,0,0,0,0,0,0,
"UMP 22","","Piazzini, Carlo E., 2009",6.744444,-76.187778,0,0,0,0,0,0,
"UMP 23","","Piazzini, Carlo E., 2009",6.745556,-76.185278,0,0,0,0,0,0,
"UMP 24","","Piazzini, Carlo E., 2009",6.744167,-76.187222,0,0,0,0,0,0,
"UMP 25","","Piazzini, Carlo E., 2009",6.745278,-76.185278,0,0,0,0,0,0,
"UMP 26","","Piazzini, Carlo E., 2009",6.749722,-76.186944,0,0,0,0,0,0,
"UMP 27","","Piazzini, Carlo E., 2009",6.744722,-76.185556,0,0,0,0,0,0,
"UMP 28","","Piazzini, Carlo E., 2009",6.751667,-76.188056,0,0,0,0,0,0,
"UMP 30","","Piazzini, Carlo E., 2009",6.750833,-76.187778,0,0,0,0,0,0,
"UMP 31","","Piazzini, Carlo E., 2009",6.766111,-76.186389,0,0,0,0,0,0,
"UMP 32","","Piazzini, Carlo E., 2009",6.749444,-76.188333,0,0,0,0,0,0,
"UMP 33","","Piazzini, Carlo E., 2009",6.744722,-76.1875,0,0,0,0,0,0,
"UMP 34","","Piazzini, Carlo E., 2009",6.749722,-76.196111,0,0,0,0,0,0,
"UMP 35","","Piazzini, Carlo E., 2009",6.748056,-76.186944,0,0,0,0,0,0,
"UMP 76","","Piazzini, Carlo E., 2009",6.754444,-76.186944,0,0,0,0,0,0,
"UMP 77","","Piazzini, Carlo E., 2009",6.754722,-76.191389,0,0,0,0,0,0,
"UMP 78","","Piazzini, Carlo E., 2009",6.755278,-76.186944,0,0,0,0,0,0,
"UMP 79","","Piazzini, Carlo E., 2009",6.754722,-76.186944,0,0,0,0,0,0,
"UMP 81","","Piazzini, Carlo E., 2009",6.753333,-76.194167,0,0,0,0,0,0,
"UMP 131","","Piazzini, Carlo E., 2009",6.764167,-76.194444,0,0,0,0,0,0,
"UMP 132","","Piazzini, Carlo E., 2009",6.765556,-76.187778,0,0,0,0,0,0,
"UMP 134","","Piazzini, Carlo E., 2009",6.765833,-76.186944,0,0,0,0,0,0,
"UMP 135","","Piazzini, Carlo E., 2009",6.760833,-76.191389,0,0,0,0,0,0,
"UMP 138","","Piazzini, Carlo E., 2009",6.764167,-76.189722,0,0,0,0,0,0,
"UMP 141","","Piazzini, Carlo E., 2009",6.746111,-76.200556,0,0,0,0,0,0,
"UMP 142","","Piazzini, Carlo E., 2009",6.766667,-76.189444,0,0,0,0,0,0,
"UMP 143","","Piazzini, Carlo E., 2009",6.760833,-76.198056,0,0,0,0,0,0,
"UMP 144","","Piazzini, Carlo E., 2009",6.765556,-76.191667,0,0,0,0,0,0,
"UMP 145","","Piazzini, Carlo E., 2009",6.761667,-76.197778,0,0,0,0,0,0,
"UMP 146","","Piazzini, Carlo E., 2009",6.766111,-76.191944,0,0,0,0,0,0,
"UMP 147","","Piazzini, Carlo E., 2009",6.762222,-76.1975,0,0,0,0,0,0,
"UMP 148","","Piazzini, Carlo E., 2009",6.750833,-76.191111,0,0,0,0,0,0,
"UMP 149","","Piazzini, Carlo E., 2009",6.765833,-76.198056,0,0,0,0,0,0,
"UMP 150","","Piazzini, Carlo E., 2009",6.766111,-76.1925,0,0,0,0,0,0,
"UMP 151","","Piazzini, Carlo E., 2009",6.763333,-76.198889,0,0,0,0,0,0,
"UMP 153","","Piazzini, Carlo E., 2009",6.766111,-76.198056,0,0,0,0,0,0,
"UMP 154","","Piazzini, Carlo E., 2009",6.767222,-76.191667,0,0,0,0,0,0,
"UMP 155","","Piazzini, Carlo E., 2009",6.765833,-76.198889,0,0,0,0,0,0,
"UMP 156","","Piazzini, Carlo E., 2009",6.750278,-76.192222,0,0,0,0,0,0,
"UMP 157","","Piazzini, Carlo E., 2009",6.762222,-76.198333,0,0,0,0,0,0,
"UMP 158","","Piazzini, Carlo E., 2009",6.7675,-76.190833,0,0,0,0,0,0,
"UMP 159","","Piazzini, Carlo E., 2009",6.764444,-76.198611,0,0,0,0,0,0,
"UMP 160","","Piazzini, Carlo E., 2009",6.755,-76.197778,0,0,0,0,0,0,
"UMP 161","","Piazzini, Carlo E., 2009",6.761667,-76.198889,0,0,0,0,0,0,
"UMP 162","","Piazzini, Carlo E., 2009",6.755,-76.1975,0,0,0,0,0,0,
"UMP 163","","Piazzini, Carlo E., 2009",6.761111,-76.198889,0,0,0,0,0,0,
"UMP 164","","Piazzini, Carlo E., 2009",6.758889,-76.196111,0,0,0,0,0,0,
"UMP 165","","Piazzini, Carlo E., 2009",6.761389,-76.199444,0,0,0,0,0,0,
"UMP 166","","Piazzini, Carlo E., 2009",6.757778,-76.198056,0,0,0,0,0,0,
"UMP 167","","Piazzini, Carlo E., 2009",6.746389,-76.191111,0,0,0,0,0,0,
"UMP 169","","Piazzini, Carlo E., 2009",6.747222,-76.212222,0,0,0,0,0,0,
"UMP 170","","Piazzini, Carlo E., 2009",6.759167,-76.197222,0,0,0,0,0,0,
"UMP 171","","Piazzini, Carlo E., 2009",6.744167,-76.203611,0,0,0,0,0,0,
"UMP 172","","Piazzini, Carlo E., 2009",6.763056,-76.196111,0,0,0,0,0,0,
"UMP 173","","Piazzini, Carlo E., 2009",6.743333,-76.205278,0,0,0,0,0,0,
"UMP 174","","Piazzini, Carlo E., 2009",6.762778,-76.1975,0,0,0,0,0,0,
"UMP 175","","Piazzini, Carlo E., 2009",6.742778,-76.205278,0,0,0,0,0,0,
"UMP 176","","Piazzini, Carlo E., 2009",6.764722,-76.197778,0,0,0,0,0,0,
"UMP 177","","Piazzini, Carlo E., 2009",6.746389,-76.2075,0,0,0,0,0,0,
"UMP 178","","Piazzini, Carlo E., 2009",6.763611,-76.201389,0,0,0,0,0,0,
"UMP 179","","Piazzini, Carlo E., 2009",6.746944,-76.209722,0,0,0,0,0,0,
